DATE	['SNWD', 'TMAX', 'TMIN', 'SNOW', 'AWND', 'WDF2', 'WDF5', 'WSF2', 'WSF5', 'WT01']
20150827	['0.0', '82', '67', '0.0', '3.13', '290', '300', '10.1', '17.0', '-9999']
20150828	['0.0', '82', '63', '0.0', '2.46', '290', '30', '8.1', '14.1', '-9999']
20150829	['0.0', '87', '67', '0.0', '2.01', '230', '240', '12.1', '21.0', '-9999']
20150830	['0.0', '90', '72', '0.0', '4.03', '240', '230', '12.1', '19.9', '1']
20150831	['0.0', '91', '76', '0.0', '4.47', '250', '250', '13.0', '21.0', '-9999']
20150901	['0.0', '90', '76', '0.0', '2.24', '60', '180', '8.9', '13.0', '-9999']
20150902	['0.0', '91', '74', '0.0', '1.79', '180', '150', '8.9', '15.0', '-9999']
20150903	['0.0', '93', '74', '0.0', '2.01', '50', '40', '10.1', '14.1', '-9999']
20150904	['0.0', '85', '72', '0.0', '6.93', '60', '50', '17.0', '25.1', '-9999']
20150905	['0.0', '83', '67', '0.0', '4.03', '60', '60', '14.1', '17.0', '-9999']
20150906	['0.0', '87', '65', '0.0', '1.34', '150', '180', '8.9', '16.1', '-9999']
20150907	['0.0', '92', '70', '0.0', '4.25', '250', '270', '10.1', '19.0', '-9999']
20150908	['0.0', '97', '76', '0.0', '4.92', '240', '250', '13.0', '21.9', '-9999']
20150909	['0.0', '90', '76', '0.0', '3.80', '180', '180', '13.0', '25.1', '1']
20150910	['0.0', '79', '70', '0.0', '6.26', '60', '30', '12.1', '18.1', '1']
20150911	['0.0', '81', '66', '0.0', '5.14', '60', '20', '14.1', '19.0', '1']
20150912	['0.0', '79', '69', '0.0', '4.25', '160', '160', '14.1', '21.9', '1']
20150913	['0.0', '80', '62', '0.0', '6.26', '280', '270', '15.0', '25.1', '1']
20150914	['0.0', '77', '59', '0.0', '6.49', '290', '290', '14.1', '23.0', '-9999']
20150915	['0.0', '84', '62', '0.0', '2.24', '260', '270', '8.1', '13.0', '-9999']
20150916	['0.0', '88', '66', '0.0', '1.34', '260', '260', '6.9', '11.0', '-9999']
20150917	['0.0', '89', '68', '0.0', '2.24', '250', '180', '12.1', '15.0', '-9999']
20150918	['0.0', '87', '68', '0.0', '2.01', '160', '170', '8.9', '16.1', '-9999']
20150919	['0.0', '83', '68', '0.0', '2.68', '230', '240', '12.1', '19.9', '-9999']
20150920	['0.0', '79', '64', '0.0', '7.83', '50', '40', '15.0', '23.0', '-9999']
20150921	['0.0', '73', '59', '0.0', '7.61', '60', '50', '17.0', '23.9', '-9999']
20150922	['0.0', '71', '62', '0.0', '6.93', '60', '60', '14.1', '18.1', '-9999']
20150923	['0.0', '80', '59', '0.0', '2.91', '60', '60', '8.9', '13.0', '-9999']
20150924	['0.0', '82', '60', '0.0', '4.25', '60', '60', '13.0', '18.1', '-9999']
20150925	['0.0', '76', '63', '0.0', '6.26', '60', '50', '13.0', '18.1', '-9999']
20150926	['0.0', '72', '61', '0.0', '6.04', '60', '60', '18.1', '25.9', '-9999']
20150927	['0.0', '71', '56', '0.0', '4.92', '50', '60', '8.9', '14.1', '-9999']
20150928	['0.0', '78', '65', '0.0', '3.36', '180', '170', '8.9', '15.0', '-9999']
20150929	['0.0', '83', '72', '0.0', '2.68', '170', '150', '10.1', '18.1', '1']
20150930	['0.0', '79', '59', '0.0', '8.28', '10', '20', '16.1', '27.1', '1']
20151001	['0.0', '64', '56', '0.0', '8.72', '30', '40', '16.1', '23.9', '1']
20151002	['0.0', '57', '48', '0.0', '12.53', '60', '60', '23.0', '32.0', '1']
20151003	['0.0', '55', '49', '0.0', '11.41', '60', '50', '21.0', '31.1', '1']
20151004	['0.0', '63', '53', '0.0', '10.74', '60', '80', '21.0', '29.1', '-9999']
20151005	['0.0', '67', '52', '0.0', '6.26', '60', '50', '15.0', '21.0', '-9999']
20151006	['0.0', '73', '52', '0.0', '1.57', '70', '60', '8.9', '12.1', '-9999']
20151007	['0.0', '73', '58', '0.0', '2.91', '300', '290', '8.1', '15.0', '-9999']
20151008	['0.0', '72', '59', '0.0', '3.36', '150', '160', '8.9', '15.0', '-9999']
20151009	['0.0', '78', '61', '0.0', '4.03', '290', '270', '17.0', '28.0', '1']
20151010	['0.0', '65', '50', '0.0', '2.46', '300', '310', '12.1', '21.9', '-9999']
20151011	['0.0', '69', '53', '0.0', '3.80', '260', '250', '10.1', '17.0', '-9999']
20151012	['0.0', '77', '56', '0.0', '3.80', '160', '160', '10.1', '17.0', '-9999']
20151013	['0.0', '72', '61', '0.0', '3.58', '250', '260', '10.1', '16.1', '-9999']
20151014	['0.0', '69', '57', '0.0', '3.80', '290', '290', '12.1', '19.0', '-9999']
20151015	['0.0', '64', '51', '0.0', '4.03', '260', '250', '10.1', '17.0', '-9999']
20151016	['0.0', '64', '53', '0.0', '5.37', '300', '290', '13.0', '21.9', '-9999']
20151017	['0.0', '56', '42', '0.0', '5.82', '310', '270', '13.0', '23.9', '-9999']
20151018	['0.0', '50', '38', '0.0', '4.92', '300', '300', '16.1', '25.1', '-9999']
20151019	['0.0', '53', '35', '0.0', '3.80', '250', '250', '14.1', '23.9', '-9999']
20151020	['0.0', '70', '48', '0.0', '6.04', '250', '250', '14.1', '23.9', '-9999']
